Age,Income,Student,Buy
Middle,Low,Yes,No
Senior,High,No,No
Middle,High,Yes,Yes
Senior,High,No,No
Middle,Low,Yes,Yes
Middle,Low,Yes,Yes
Middle,Medium,Yes,Yes
Young,Medium,No,Yes
Senior,Low,Yes,No
Young,Medium,No,Yes
Young,Low,No,Yes
Middle,Medium,No,Yes
Young,Medium,Yes,Yes
Senior,Medium,No,No
Senior,Medium,No,No
Senior,Low,No,No
Middle,Medium,No,Yes
Young,High,No,No
Senior,Low,No,Yes
Middle,Medium,Yes,Yes
Senior,Medium,Yes,Yes
Senior,Low,No,No
Senior,Medium,No,Yes
Young,High,No,No
Middle,Low,No,Yes
Senior,Medium,Yes,Yes
Young,Medium,Yes,Yes
Young,High,No,No
Middle,Low,Yes,No
Senior,Medium,Yes,No
Middle,Medium,No,Yes
Middle,Low,Yes,Yes
Young,Low,No,No
Middle,High,Yes,Yes
Senior,Medium,No,No
Young,High,Yes,Yes
Middle,Low,No,Yes
Senior,High,Yes,Yes
Senior,Medium,Yes,Yes
Middle,Low,Yes,No
Senior,Low,No,Yes
Middle,Medium,No,Yes
Young,Low,Yes,Yes
Senior,High,No,No
Senior,Low,No,No
Senior,High,No,No
Senior,Medium,Yes,No
Middle,Low,No,No
Middle,High,Yes,Yes
Senior,High,Yes,No
Middle,Low,No,Yes
Senior,Low,Yes,Yes
Senior,Medium,No,No
Senior,Low,No,Yes
Young,Medium,No,No
Middle,High,No,Yes
Young,Medium,Yes,Yes
Middle,High,Yes,Yes
Young,Low,No,No
Middle,Medium,Yes,Yes
Middle,Medium,Yes,Yes
Young,Medium,Yes,Yes
Middle,Low,Yes,Yes
Young,High,Yes,Yes
Young,Medium,Yes,No
Senior,Medium,No,No
Middle,Medium,No,Yes
Young,High,No,Yes
Middle,Low,Yes,Yes
Senior,Low,Yes,No
Young,Medium,Yes,Yes
Middle,Low,No,Yes
Young,Low,No,Yes
Young,Low,Yes,No
Middle,High,No,No
Middle,Medium,Yes,Yes
Middle,Medium,No,Yes
Senior,Medium,No,Yes
Senior,Low,No,No
Middle,Low,No,Yes
Young,Low,No,Yes
Senior,Medium,Yes,Yes
Young,High,No,Yes
Middle,Low,Yes,Yes
Young,Low,No,No
Young,High,No,Yes
Senior,Low,No,Yes
Senior,Low,No,Yes
Middle,Medium,No,No
Middle,Medium,No,Yes
Young,Medium,No,No
Young,High,Yes,Yes
Young,Medium,Yes,Yes
Middle,Low,Yes,Yes
Senior,High,Yes,Yes
Middle,Medium,No,Yes
Young,Medium,Yes,No
Senior,Medium,No,No
Senior,Low,Yes,No
Middle,Medium,Yes,Yes
Middle,Medium,No,No
Middle,Low,No,No
Young,Medium,No,Yes
Middle,High,No,No
Senior,Medium,No,No
Young,High,Yes,Yes
Young,High,No,No
Young,Medium,No,No
Young,Medium,No,No
Senior,Low,Yes,Yes
Senior,Medium,No,Yes
Middle,Medium,Yes,No
Young,Medium,Yes,Yes
Middle,High,Yes,Yes
Middle,Low,No,Yes
Young,High,No,No
Middle,Low,No,Yes
Middle,High,No,No
Middle,Medium,Yes,Yes
Middle,High,Yes,Yes
Young,Low,Yes,Yes
Middle,Medium,No,No
Middle,Medium,Yes,Yes
Middle,High,No,Yes
Senior,Low,No,No
Middle,High,Yes,No
Young,Low,No,No
Young,High,No,No
Middle,High,No,Yes
Young,High,No,No
Middle,Medium,Yes,Yes
Senior,Medium,Yes,No
Middle,High,No,No
Middle,Low,No,No
Middle,Medium,Yes,Yes
Middle,Medium,No,Yes
Middle,Medium,No,Yes
Senior,Medium,No,No
Middle,Medium,Yes,No
Senior,High,No,Yes
Senior,High,No,Yes
Young,Low,Yes,Yes
Young,Low,Yes,No
Young,Medium,No,No
Young,High,Yes,Yes
Young,Medium,No,No
Middle,Medium,No,No
Young,High,Yes,No
Young,High,No,No
Senior,Low,Yes,No
Young,Low,No,No
Senior,High,Yes,Yes
Young,High,No,No
Young,High,Yes,No
Middle,Low,Yes,No
Middle,High,No,Yes
Senior,High,Yes,No
Senior,Low,No,Yes
Senior,High,Yes,Yes
Young,Low,No,Yes
Young,High,Yes,Yes
Senior,High,No,No
Senior,High,No,No
Senior,Low,Yes,Yes
Middle,Low,Yes,Yes
Middle,Low,Yes,No
Senior,Medium,No,Yes
Young,Low,Yes,Yes
Senior,High,No,No
Senior,High,Yes,No
Middle,Low,Yes,Yes
Senior,High,No,No
Senior,High,No,No
Young,High,Yes,Yes
Senior,High,Yes,Yes
Middle,High,Yes,No
Senior,Medium,No,Yes
Young,Medium,No,No
Senior,Low,No,Yes
Middle,Low,No,No
Young,Medium,No,Yes
Senior,High,No,No
Young,Medium,No,Yes
Young,Medium,Yes,Yes
Senior,High,Yes,No
Senior,Medium,Yes,No
Middle,Medium,Yes,Yes
Middle,Medium,No,Yes
Middle,Medium,No,No
Young,High,Yes,No
Young,Low,Yes,Yes
Middle,Low,No,Yes
Senior,High,No,No
Senior,Low,Yes,No
Senior,Medium,No,Yes
Young,Low,Yes,Yes
Middle,Low,Yes,Yes
Young,Medium,No,No
Middle,High,No,Yes
Middle,High,Yes,Yes
Senior,Medium,No,Yes
Middle,Medium,No,Yes
Young,High,No,Yes
Young,High,No,No
Senior,Low,No,No
Middle,Low,No,Yes
Young,Medium,No,No
Young,High,Yes,No
Senior,High,Yes,No
Young,High,Yes,Yes
Senior,Low,No,No
Senior,High,Yes,Yes
Young,Medium,No,Yes
Young,High,No,Yes
Senior,Medium,Yes,Yes
Middle,Low,No,No
Middle,Low,Yes,No
Senior,High,No,No
Senior,High,Yes,No
Senior,High,No,No
Senior,Low,No,Yes
Middle,Low,No,Yes
Young,Medium,No,Yes
Senior,Medium,No,Yes
Middle,Low,No,Yes
Middle,High,No,Yes
Senior,Low,No,No
Young,Medium,Yes,No
Middle,Medium,No,No
Young,Medium,No,No
Middle,High,No,Yes
Young,High,Yes,Yes
Young,Low,No,No
Young,High,Yes,Yes
Middle,Medium,No,Yes
Senior,High,Yes,No
Middle,Medium,No,Yes
Senior,High,No,No
Middle,Medium,Yes,Yes
Young,Low,No,Yes
Senior,High,Yes,Yes
Young,Medium,No,Yes
Senior,Medium,No,Yes
Young,Low,No,Yes
Senior,Low,No,No
Young,Low,No,Yes
Senior,High,Yes,No
Middle,High,Yes,Yes
Senior,High,No,No
Young,Medium,No,Yes
Middle,High,No,Yes
Senior,Medium,No,No
Middle,Medium,Yes,No
Middle,Medium,No,Yes
Middle,Low,Yes,No
Middle,High,No,Yes
Middle,High,Yes,Yes
Middle,Low,Yes,Yes
Senior,Medium,Yes,Yes
Young,Low,Yes,No
Young,Medium,No,Yes
Senior,High,Yes,Yes
Senior,Low,Yes,No
Middle,Low,Yes,No
Middle,Low,Yes,Yes
Young,High,Yes,Yes
Young,Medium,Yes,Yes
Middle,Medium,No,No
Middle,High,No,Yes
Middle,Low,No,No
Young,High,No,Yes
Senior,Low,Yes,Yes
Senior,Medium,No,Yes
